No.;Type of Post;Date;URL;Reach;Engagement
1;Celebrate National Holiday;2022-09-02;https://www.facebook.com/sobanhang.vn/posts/pfbid0twu7NoMUBJsfbjPYViuMyhRZ7pn2uryXLwVSauf6gAPji3UXSxqGn7y2Kxv7Evkhl?__cft__[0]=AZXIR8H-504Kl87bNBzlYs3FsIPk20zctMI5_gtbaHvn-sya8oeRPlJpX3bYT55g0hZZCRhsRv7d2v2pmC-vH2lcKbC5iaR3zu_lT1Wln90BPt2-60ndqT8DjgRnLT50MmLHIE_NzU3wEfREgD7awg6gM1tkuytUZIYo-Pa-R8c_gw&__tn__=%2CO%2CP-R;323;13
2;Minigame;2022-09-06;https://www.facebook.com/sobanhang.vn/posts/pfbid0oLfuPFkdVhtTfxF3iqbMjrLwWxVciztcr2952wQDU8oqcTtWuGM5E9G4ZHuz3kWKl?__cft__[0]=AZXiIwrMTnlyt4-lE-DOfDPd8gdqjD6axH4o8s93cq57NpsNlUUFQZkwr5efWpi_7SDtmsxA2RwCLsa2cf_sPbTiR5QOtuRq1Nm_gH9Y8VdyOL6JFycGb32URwFplhfAW9jlouo1umAB31O-L-mY8BjLWn4orx4kJ944o5esIjKZ9A&__tn__=%2CO%2CP-R;122;10
3;Go-to-market PRO;2022-09-05;https://www.facebook.com/sobanhang.vn/videos/sobanhang-pro-qua-tr%E1%BA%A3i-nghi%E1%BB%87m-th%E1%BA%ADt-c%E1%BB%A7a-c%C3%A1c-ch%E1%BB%A7-c%E1%BB%ADa-h%C3%A0ng/1124872648443822/;168;8
4;Teasing new feature;2022-09-03;https://www.facebook.com/sobanhang.vn/posts/pfbid0pqvvFBnZG4ysKN7PMajMA45HnoY6MGPBw1Xii5mv8smiPesPQep87LNV177KHQwUl;414;15
5;Viral post;2022-09-07;https://www.facebook.com/sobanhang.vn/posts/pfbid02khzgBwNe3RRcZ4MRwJwyZAmou4VFNJkKEAyD2M4Wbn6RHMPnuKZx1ycgaKSzbytRl?__cft__[0]=AZWOYqXyfgnZGlX4wZnC4NT4R67vVGDXVP8vwFDq_bxs2vI_Xy9TXekoIMW8E07sNX6VvtMn-NFcQTjiI2LMLBfHQCMAyrrS9YWPCsQ5CZGHmj6m7K70lrTlT10BvnDo0JW0QBW5VPOqyvzCLpgfzjnhHEzDGZl3ZKNjJ2dBbkBFXw&__tn__=%2CO%2CP-R;700;52
